brand, product_name, shipping
ASRock, ASRock Radeon RX 6700 XT Challenger D Gaming Graphic Card| 12GB GDDR6 VRAM| AMD RDNA2 (RX6700XT CLD 12G), Free Shipping
ASUS, ASUS Dual GeForce RTX 3050 Video Card DUAL-RTX3050-O8G, Free Shipping
ASUS, ASUS ROG Strix GeForce RTX 3050 Video Card ROG-STRIX-RTX3050-O8G-GAMING, $9.99 Shipping
ASUS, ASUS Dual Radeon RX 6500 XT Video Card DUAL-RX6500XT-O4G, $9.99 Shipping
ASUS, ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Edition Gaming Graphics Card (PCIe 4.0| 12GB GDDR6X| LHR| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II), Free Shipping
GIGABYTE, GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE OC-12GD, Free Shipping
GIGABYTE, GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS M-12GD, Free Shipping
GIGABYTE, GIGABYTE Eagle GeForce RTX 3070 Ti Video Card GV-N307TEAGLE OC-8GD, 
ASUS, ASUS Phoenix GeForce RTX 3050 Video Card PH-RTX3050-8G, Free Shipping
MSI, MSI Ventus GeForce RTX 3080 Ti Video Card RTX 3080 Ti VENTUS 3X 12G, 
EVGA, EVGA GeForce RTX 3080 Ti XC3 GAMING Video Card| 12G-P5-3953-KR| 12GB GDDR6X| iCX3 Cooling| ARGB LED| Metal Backplate, 
ASUS, ASUS Noctua OC Edition GeForce RTX 3070 Video Card RTX3070-O8G-NOCTUA (LHR), 
